Date,Open,High,Low,Closed Price, Volume,Buy Sell,Vn-index,Dowjones,Private trade volume
6/25/2009,77000,80500,74000,76500,185410,-30210,453.76,8280.740234,0
6/26/2009,76500,79500,76500,78000,161090,-110830,461.37,8324.870117,0
6/29/2009,78000,79000,77500,78000,105480,-99320,460.42,8163.600098,0
6/30/2009,78000,78000,74500,74500,98830,-134860,448.29,8178.410156,0
7/1/2009,74500,73000,71000,71000,51990,-136720,430,8183.169922,0
7/2/2009,45260,47500,47500,47500,37850,127500,433.79,8146.52002,0
7/3/2009,47500,49800,49000,49800,210630,83280,435.44,8331.679688,0
7/6/2009,49800,52000,49400,51000,160760,33850,454.27,8359.490234,0
7/7/2009,51000,50000,48500,48500,103600,-124360,447.63,8616.209961,0
7/8/2009,48500,47500,46100,46100,115670,-26480,446.79,8711.820313,0
7/9/2009,46100,47700,46000,46000,34500,-11530,446.4,8743.94043,0
7/10/2009,46000,45500,44500,44500,47010,-30410,438.83,8848.150391,0
7/13/2009,44500,43400,42300,42300,41560,-50940,426.67,8915.94043,0
7/14/2009,41800,42300,39800,42000,99540,2360,418.55,8881.259766,0
7/15/2009,42000,43000,42000,42500,19530,-18310,427.05,9069.290039,0
7/16/2009,42500,44600,42600,44000,38430,5460,433.47,9093.240234,0
7/17/2009,44000,45500,43700,45000,61980,-3160,428.67,9108.509766,0
7/20/2009,45000,43600,42800,42800,53450,-30590,412.88,9096.719727,0
7/21/2009,42800,43800,42800,43000,34740,25260,416.43,9070.719727,0
7/22/2009,43000,45100,45100,45100,44420,121780,419.48,9154.459961,0
7/23/2009,45100,47300,46800,47300,100070,112360,434.2,9171.610352,0
7/24/2009,47300,49600,49600,49600,14140,196290,454.71,9286.55957,0
7/27/2009,49600,52000,52000,52000,44510,242240,469.71,9320.19043,0
7/28/2009,52000,54500,54500,54500,148200,165780,462.98,9280.969727,0
7/29/2009,54500,57000,55500,55500,325890,9230,458.04,9256.259766,0
7/30/2009,55500,53000,53000,53000,103030,-110330,451.91,9370.070313,0
7/31/2009,53000,55500,51000,54500,107360,31740,466.76,9337.950195,0
8/3/2009,54500,56000,53000,54000,29250,-29790,467.93,9241.450195,0
8/4/2009,54000,55000,53000,53000,61100,-39600,476.59,9361.610352,0
8/5/2009,53000,54000,52500,53500,36860,-9220,481.29,9398.19043,0
8/6/2009,53500,56000,55000,55000,173700,29290,481.44,9321.400391,0
8/7/2009,55000,56000,55000,55000,78630,-15570,480.65,9135.339844,0
8/10/2009,55000,56000,55000,55500,50420,16040,491.2,9217.94043,0
8/11/2009,55500,56000,54500,54500,46830,-1760,494.17,9279.160156,0
8/12/2009,54500,55000,54000,55000,50630,-14520,497.16,9350.049805,0
8/13/2009,55000,56000,55000,56000,78900,-15480,503.58,9505.959961,47000
8/14/2009,56000,56500,55000,56000,27690,-39170,506.99,9509.280273,0
8/17/2009,56000,56000,54500,54500,33260,-31050,500.08,9539.290039,0
